@relation dataSet

@attribute id numeric
@attribute buoyancy numeric
@attribute prismatic numeric
@attribute length numeric
@attribute draught numeric
@attribute beam numeric
@attribute froude numeric
@attribute resistance numeric

@data
19,-2.3,0.569,4.78,3.04,3.64,0.25,1.59
229,0,0.6,4.78,4.24,3.15,0.25,2.16
81,-2.4,0.568,4.34,2.98,3.15,0.4,20.63
298,-2.3,0.6,4.34,4.23,2.73,0.225,1.02
111,-2.4,0.585,4.78,3.84,3.32,0.45,44.38
0,-2.3,0.568,4.78,3.99,3.17,0.125,0.11
223,-2.3,0.53,4.34,2.81,3.15,0.45,62.42
121,-2.2,0.546,4.78,4.13,3.07,0.35,7.37
109,-2.4,0.585,4.78,3.84,3.32,0.4,19.18
16,-2.3,0.569,4.78,3.04,3.64,0.175,0.37
203,-2.3,0.53,4.76,3.68,3.16,0.3,3.09
83,-2.4,0.568,4.34,2.98,3.15,0.45,54.23
235,0,0.6,4.78,4.24,3.15,0.4,23.15
291,-2.3,0.6,5.1,4.17,3.51,0.4,20.14
194,-2.3,0.53,5.11,3.69,3.51,0.425,37.95
113,-2.2,0.546,4.78,4.13,3.07,0.15,0.32
284,-2.3,0.6,5.1,4.17,3.51,0.225,1.24
234,0,0.6,4.78,4.24,3.15,0.375,15.25
268,-5,0.53,4.78,3.75,3.15,0.175,0.47
13,-2.3,0.568,4.78,3.99,3.17,0.45,49.49
10,-2.3,0.568,4.78,3.99,3.17,0.375,11.93
8,-2.3,0.568,4.78,3.99,3.17,0.325,4.99
143,-5,0.565,4.77,3.99,3.15,0.2,0.7
225,0,0.6,4.78,4.24,3.15,0.15,0.18
255,0,0.53,4.78,3.75,3.15,0.2,0.92
222,-2.3,0.53,4.34,2.81,3.15,0.425,41.34
103,-2.4,0.585,4.78,3.84,3.32,0.25,1.98
209,-2.3,0.53,4.76,3.68,3.16,0.45,56.46
141,-5,0.565,4.77,3.99,3.15,0.15,0.18
47,-2.3,0.564,5.1,3.95,3.53,0.25,1.97
259,0,0.53,4.78,3.75,3.15,0.3,3.7
174,-5,0.565,5.1,3.94,3.51,0.275,2.59
301,-2.3,0.6,4.34,4.23,2.73,0.3,4.15
213,-2.3,0.53,4.34,2.81,3.15,0.2,0.63
253,0,0.53,4.78,3.75,3.15,0.15,0.32
240,-5,0.6,4.78,4.24,3.15,0.175,0.34
107,-2.4,0.585,4.78,3.84,3.32,0.35,8.04
48,-2.3,0.564,5.1,3.95,3.53,0.275,2.83
212,-2.3,0.53,4.34,2.81,3.15,0.175,0.35
57,-2.4,0.574,4.36,3.96,2.76,0.15,0.35
188,-2.3,0.53,5.11,3.69,3.51,0.275,2.17
15,-2.3,0.569,4.78,3.04,3.64,0.15,0.17
152,-5,0.565,4.77,3.99,3.15,0.425,34.58
256,0,0.53,4.78,3.75,3.15,0.225,1.37
239,-5,0.6,4.78,4.24,3.15,0.15,0.15
53,-2.3,0.564,5.1,3.95,3.53,0.4,21.51
166,0,0.565,5.1,3.94,3.51,0.425,35.46
14,-2.3,0.569,4.78,3.04,3.64,0.125,0.04
176,-5,0.565,5.1,3.94,3.51,0.325,5.27
9,-2.3,0.568,4.78,3.99,3.17,0.35,7.16
6,-2.3,0.568,4.78,3.99,3.17,0.275,2.61
33,-2.3,0.565,4.78,5.35,2.76,0.25,1.99
172,-5,0.565,5.1,3.94,3.51,0.225,1.19
272,-5,0.53,4.78,3.75,3.15,0.275,2.62
154,0,0.565,5.1,3.94,3.51,0.125,0.08
290,-2.3,0.6,5.1,4.17,3.51,0.375,12.39
69,-2.4,0.574,4.36,3.96,2.76,0.45,50.36
247,-5,0.6,4.78,4.24,3.15,0.35,8.62
189,-2.3,0.53,5.11,3.69,3.51,0.3,2.98
153,-5,0.565,4.77,3.99,3.15,0.45,51.77
233,0,0.6,4.78,4.24,3.15,0.35,10.36
287,-2.3,0.6,5.1,4.17,3.51,0.3,4.46
