@relation dataSet

@attribute id numeric
@attribute buoyancy numeric
@attribute prismatic numeric
@attribute length numeric
@attribute draught numeric
@attribute beam numeric
@attribute froude numeric
@attribute resistance numeric

@data
278,-5,0.53,4.78,3.75,3.15,0.425,37.14
112,-2.2,0.546,4.78,4.13,3.07,0.125,0.15
150,-5,0.565,4.77,3.99,3.15,0.375,12.71
97,-2.3,0.562,5.14,4.95,3.17,0.45,47.29
71,-2.4,0.568,4.34,2.98,3.15,0.15,0.26
283,-2.3,0.6,5.1,4.17,3.51,0.2,0.73
185,-2.3,0.53,5.11,3.69,3.51,0.2,0.75
305,-2.3,0.6,4.34,4.23,2.73,0.4,19.59
104,-2.4,0.585,4.78,3.84,3.32,0.275,2.91
162,0,0.565,5.1,3.94,3.51,0.325,5.57
76,-2.4,0.568,4.34,2.98,3.15,0.275,2.46
243,-5,0.6,4.78,4.24,3.15,0.25,1.85
146,-5,0.565,4.77,3.99,3.15,0.275,2.77
125,-2.2,0.546,4.78,4.13,3.07,0.45,53.07
3,-2.3,0.568,4.78,3.99,3.17,0.2,0.78
62,-2.4,0.574,4.36,3.96,2.76,0.275,2.83
177,-5,0.565,5.1,3.94,3.51,0.35,7.74
252,0,0.53,4.78,3.75,3.15,0.125,0.16
105,-2.4,0.585,4.78,3.84,3.32,0.3,4.35
79,-2.4,0.568,4.34,2.98,3.15,0.35,6.86
58,-2.4,0.574,4.36,3.96,2.76,0.175,0.65
175,-5,0.565,5.1,3.94,3.51,0.3,3.85
228,0,0.6,4.78,4.24,3.15,0.225,1.3
142,-5,0.565,4.77,3.99,3.15,0.175,0.4
126,0,0.565,4.77,3.99,3.15,0.125,0.11
297,-2.3,0.6,4.34,4.23,2.73,0.2,0.64
39,-2.3,0.565,4.78,5.35,2.76,0.4,21.4
35,-2.3,0.565,4.78,5.35,2.76,0.3,4.21
271,-5,0.53,4.78,3.75,3.15,0.25,1.85
215,-2.3,0.53,4.34,2.81,3.15,0.25,1.43
193,-2.3,0.53,5.11,3.69,3.51,0.4,24.14
306,-2.3,0.6,4.34,4.23,2.73,0.425,30.48
210,-2.3,0.53,4.34,2.81,3.15,0.125,0.05
238,-5,0.6,4.78,4.24,3.15,0.125,0.06
237,0,0.6,4.78,4.24,3.15,0.45,51.5
294,-2.3,0.6,4.34,4.23,2.73,0.125,0.04
91,-2.3,0.562,5.14,4.95,3.17,0.3,4.09
179,-5,0.565,5.1,3.94,3.51,0.4,20.91
93,-2.3,0.562,5.14,4.95,3.17,0.35,8.28
289,-2.3,0.6,5.1,4.17,3.51,0.35,8.68
163,0,0.565,5.1,3.94,3.51,0.35,8.76
115,-2.2,0.546,4.78,4.13,3.07,0.2,0.86
106,-2.4,0.585,4.78,3.84,3.32,0.325,5.79
167,0,0.565,5.1,3.94,3.51,0.45,51.99
74,-2.4,0.568,4.34,2.98,3.15,0.225,1.09
164,0,0.565,5.1,3.94,3.51,0.375,14.24
41,-2.3,0.565,4.78,5.35,2.76,0.45,50.14
266,-5,0.53,4.78,3.75,3.15,0.125,0.09
171,-5,0.565,5.1,3.94,3.51,0.2,0.77
232,0,0.6,4.78,4.24,3.15,0.325,7.14
165,0,0.565,5.1,3.94,3.51,0.4,23.05
281,-2.3,0.6,5.1,4.17,3.51,0.15,0.16
21,-2.3,0.569,4.78,3.04,3.64,0.3,3.29
123,-2.2,0.546,4.78,4.13,3.07,0.4,21.99
207,-2.3,0.53,4.76,3.68,3.16,0.4,23.96
267,-5,0.53,4.78,3.75,3.15,0.15,0.24
43,-2.3,0.564,5.1,3.95,3.53,0.15,0.35
5,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
286,-2.3,0.6,5.1,4.17,3.51,0.275,3.04
29,-2.3,0.565,4.78,5.35,2.76,0.15,0.29
124,-2.2,0.546,4.78,4.13,3.07,0.425,35.64
202,-2.3,0.53,4.76,3.68,3.16,0.275,2.28
42,-2.3,0.564,5.1,3.95,3.53,0.125,0.2
187,-2.3,0.53,5.11,3.69,3.51,0.25,1.57
110,-2.4,0.585,4.78,3.84,3.32,0.425,30.09
120,-2.2,0.546,4.78,4.13,3.07,0.325,4.83
127,0,0.565,4.77,3.99,3.15,0.15,0.24
276,-5,0.53,4.78,3.75,3.15,0.375,13.73
282,-2.3,0.6,5.1,4.17,3.51,0.175,0.39
263,0,0.53,4.78,3.75,3.15,0.4,27.34
36,-2.3,0.565,4.78,5.35,2.76,0.325,5.54
156,0,0.565,5.1,3.94,3.51,0.175,0.5
50,-2.3,0.564,5.1,3.95,3.53,0.325,5.19
55,-2.3,0.564,5.1,3.95,3.53,0.45,50.36
199,-2.3,0.53,4.76,3.68,3.16,0.2,0.76
80,-2.4,0.568,4.34,2.98,3.15,0.375,11.56
86,-2.3,0.562,5.14,4.95,3.17,0.175,0.7
82,-2.4,0.568,4.34,2.98,3.15,0.425,34.5
34,-2.3,0.565,4.78,5.35,2.76,0.275,2.94
151,-5,0.565,4.77,3.99,3.15,0.4,21.02
170,-5,0.565,5.1,3.94,3.51,0.175,0.45
66,-2.4,0.574,4.36,3.96,2.76,0.375,12.86
265,0,0.53,4.78,3.75,3.15,0.45,60.85
116,-2.2,0.546,4.78,4.13,3.07,0.225,1.24
101,-2.4,0.585,4.78,3.84,3.32,0.2,0.97
307,-2.3,0.6,4.34,4.23,2.73,0.45,46.66
129,0,0.565,4.77,3.99,3.15,0.2,0.79
133,0,0.565,4.77,3.99,3.15,0.3,4.14
184,-2.3,0.53,5.11,3.69,3.51,0.175,0.46
89,-2.3,0.562,5.14,4.95,3.17,0.25,2.23
279,-5,0.53,4.78,3.75,3.15,0.45,55.87
214,-2.3,0.53,4.34,2.81,3.15,0.225,1.01
52,-2.3,0.564,5.1,3.95,3.53,0.375,12.86
45,-2.3,0.564,5.1,3.95,3.53,0.2,0.93
22,-2.3,0.569,4.78,3.04,3.64,0.325,4.61
75,-2.4,0.568,4.34,2.98,3.15,0.25,1.67
108,-2.4,0.585,4.78,3.84,3.32,0.375,12.15
147,-5,0.565,4.77,3.99,3.15,0.3,4.12
130,0,0.565,4.77,3.99,3.15,0.225,1.28
37,-2.3,0.565,4.78,5.35,2.76,0.35,8.25
63,-2.4,0.574,4.36,3.96,2.76,0.3,3.99
221,-2.3,0.53,4.34,2.81,3.15,0.4,25.18
227,0,0.6,4.78,4.24,3.15,0.2,0.73
204,-2.3,0.53,4.76,3.68,3.16,0.325,4.41
292,-2.3,0.6,5.1,4.17,3.51,0.425,31.77
302,-2.3,0.6,4.34,4.23,2.73,0.325,6
249,-5,0.6,4.78,4.24,3.15,0.4,20.41
220,-2.3,0.53,4.34,2.81,3.15,0.375,13.96
