@relation dataSet

@attribute id numeric
@attribute clivi numeric
@attribute clt numeric
@attribute clwvi numeric
@attribute hfss numeric
@attribute pr numeric
@attribute prc numeric
@attribute prsn numeric
@attribute prw numeric
@attribute ps numeric
@attribute psl numeric
@attribute rlds numeric
@attribute rldscs numeric
@attribute rlntp numeric
@attribute rlntpcs numeric
@attribute rlus numeric
@attribute rlut numeric
@attribute rlutcs numeric
@attribute rsds numeric
@attribute rsdscs numeric
@attribute rsntp numeric
@attribute rsntpcs numeric
@attribute rsus numeric
@attribute rsuscs numeric
@attribute rsut numeric
@attribute rsutcs numeric
@attribute rtmt numeric
@attribute tas numeric
@attribute tauu numeric
@attribute tauv numeric
@attribute ts numeric
@attribute uas numeric
@attribute vas numeric
@attribute rsdt numeric

@data
125,6033.175,84108475,10123.958,-1911075.95,1.421325,0.04008,1.420622,518987.505,67710905000,99229845000,129371375,102354972.5,139190270,146734620,193032365,169005840,176169505,376768370,426452470,111885712.5,117314700,301414700,341161975,355845265,350379630,-28360389.5,241509410,33932.421,-17066.57,241188555,1637493.4,-1560807.35,496490720
93,47829.315,74793220,129372.0175,1342383.85,12.514338,3.14996,0.636298,14024809.5,99630955000,102457950000,310427830,270191985,198962650,227083975,352101150,217858965,243934010,61282416.5,106485165,80119200,118229305,10678943.25,18615034,75362087,37959042.5,-126603510,280711225,60647.451,17460.458,280551570,802749.95,406985.93,166617555
114,109855.05,63298265,200260.445,6207839.75,62.521897,40.325424,0,32625886,101757360000,101757360000,382111250,361607370,219717060,258160330,432259990,239171835,274056665,240893720,360711300,317467890,427220245,11058209.5,16738803,154362570,46983396,100350472.5,294658050,-33519.705,-31740.7225,295441485,-2763113.2,-2929555.35,493884890
235,38547.3445,96373020,45682.2815,-15917250,11.017306,0.25088,11.017218,2851125.35,96869267000,101979305000,196107530,155950890,151005805,165243770,225831360,170234715,183596975,11831364.5,16472557.5,10786871.5,13787589,5310369.15,7400731.5,17438717,14477030,-155249600,250610230,107609.6125,34559.961,250385200,1325565.9,795820.82,32423833
47,68463.683,89749665,109193.105,-3815340.5,39.150264,15.994592,35.467934,5231588,77132100000,101878915000.000016,258926955,194847315,171373880,200878800,286309695,192044790,219405085,70928822.5,122226200,58742471.5,85114440,34258842,58320903,95969565,70053735,-121793400,266589540,318045.215,109089.435,266272220,2749142.05,1540714.75,166220955
44,51878.019,99211260,77124.7575,66498497,20.746805,5.392742,20.73845,3889107,100951735000,101031790000.000016,250255515,187823545,164771415,194901725,293194080,184297460,212376355,8525965.25,16224396.25,10783651,16962732.5,2251793.1,4083555,16985733,10894612.5,-169348650,262966065,-21135.2495,-49155.1905,267726820,-560474.85,-2517310.9,31934542.5
238,7190.8841,64171392.5,10696.11,-5086612.525,2.862577,0.998499,2.862546,937235.55,75411755000,98550453000.000016,151154770,126787675,154337480,162542215,219339445,183241300,190996130,375566650,413825330,116697995,121429965,300453320,331060260,343101700,338342455,-37550094.5,249779900,-2293.6775,-63178.796,249052300,-572483.885,-2518109.25,488792900
169,35342.7825,85944420,82478.445,7882964.35,95.68236,93.93143,0,50753103.5,100686365000,100686365000,423460950,414336170,207546875,259254975,475403450,223803560,273728380,239662980,326699385,310154575,394429290,11202722.5,15597776,121919495,40370474,106528715,301097315,-18771.3272,-22310.4065,302554935,-2328750.25,-2833875.85,452251785
14,73552.7425,49602443.5,122843.225,11315411.15,29.038355,14.723744,0,19145099,101373212500,101380255000,333842270,314371690,224095685,249949470,405353700,244621895,268331190,273463730,369367785,338713560,425521560,13568271,18312440,134523460,49590687,117030585,289555030,26546.1365,11647.753825,290727975,1919950.1,-5682.055,496175940
174,47258.273,88948680,83278.797,4797038.65,146.018278,145.732685,0,52294242.5,100435182000,100656432999.999984,425967850,416573675,181061980,258801480,473108490,198489165,273325880,173221250,254778625,226657455,310716415,9241587.5,13936769.5,117288737.5,37358215.5,47216789,301184675,-47163.7155,-10954.4113,302186525,-4020392.4,-492179.6255,362994690
73,66503.56,75777733,138371.66,7293215.7,35.76875,16.425438,5.954055,11398965,99843440000,99843440000,297320495,258233905,195944420,223072090,351965990,222084980,247099550,238336425,369684525,298347310,413372990,12447106,19650901,165009735,52395189.5,100347937,280001710,263721.66,-30645.824,280648180,10360687,-2113317.55,487442675
250,30385.9061,75974227,63078.785,12378128,84.395124,84.043743,0,45284885.5,100712350000,100712350000,417799620,406089035,216994825,263533270,471886275,234119115,277348635,250334335,324786815,320813580,391782440,11484348.5,15208536.5,111787105,43153238,106346590,300164510,11887.10825,22475.5565,301993850,1118297.05,2986988.55,452252810
36,18675.2605,99422610,25835.4405,2111149.15,6.407175,0.227043,6.406471,2321438.6,101241334999.999984,101401769999.999984,178839220,150053440,154788095,162175555,217826925,169249390,176204120,0,0,0,0,0,0,0,0,-169249390,248333730,-9105.3635,-34195.0825,248316890,-441501.99,-3207429.25,0
